"date","bw_alltweets","bw_noRTMT"
2014-09-16,"9190","5768"
2014-09-17,"7953","4765"
2014-09-18,"13122","7073"
2014-09-19,"6192","3880"
2014-09-20,"7155","4223"
2014-09-21,"7316","4681"
2014-09-22,"7181","4604"
2014-09-23,"8427","5659"
2014-09-24,"7279","4096"
2014-09-25,"7817","4818"
2014-09-26,"5250","3377"
2014-09-27,"6759","3560"
2014-09-28,"7983","4882"
2014-09-29,"8386","4938"
2014-09-30,"8488","5364"
2014-10-01,"7832","4791"
2014-10-02,"5983","3817"
2014-10-03,"6910","3223"
2014-10-04,"6947","4015"
2014-10-05,"7044","4575"
2014-10-06,"10063","5152"
2014-10-07,"9606","6068"
2014-10-08,"11205","6598"
2014-10-09,"9047","5557"
2014-10-10,"6852","4078"
2014-10-11,"7271","4352"
2014-10-12,"7470","4628"
2014-10-13,"7317","4590"
2014-10-14,"7464","4894"
2014-10-15,"7562","4463"
2014-10-16,"10743","6468"
2014-10-17,"6650","4063"
2014-10-18,"6048","3696"
2014-10-19,"9185","5968"
2014-10-20,"7285","4510"
2014-10-21,"7450","4936"
2014-10-22,"7796","4966"
2014-10-23,"8445","4806"
2014-10-24,"6401","4170"
2014-10-25,"6838","4242"
2014-10-26,"7749","5052"
2014-10-27,"7158","4602"
2014-10-28,"8958","5358"
2014-10-29,"11257","6331"
2014-10-30,"11505","4233"
2014-10-31,"5410","2902"
2014-11-01,"8224","3779"
2014-11-02,"23660","10828"
2014-11-03,"10549","6235"
2014-11-04,"7991","4915"
2014-11-05,"7021","4265"
2014-11-06,"10525","5925"
2014-11-07,"6284","4030"
2014-11-08,"5874","3509"
2014-11-09,"8954","5396"
2014-11-10,"9624","5329"
2014-11-11,"9887","5476"
2014-11-12,"10548","5549"
2014-11-13,"9043","5360"
2014-11-14,"7000","3530"
2014-11-15,"6994","4143"
2014-11-16,"8246","4400"
2014-11-17,"8314","4995"
2014-11-18,"7653","4713"
2014-11-19,"7210","4411"
2014-11-20,"7001","4365"
2014-11-21,"6152","3521"
2014-11-22,"7227","3792"
2014-11-23,"8012","4904"
2014-11-24,"9048","5130"
2014-11-25,"6068","3649"
2014-11-26,"6663","4091"
2014-11-27,"5264","3094"
2014-11-28,"5969","3556"
2014-11-29,"6364","3872"
2014-11-30,"16833","6476"
2014-12-01,"8452","5244"
2014-12-02,"7459","4878"
2014-12-03,"9057","4832"
2014-12-04,"9117","5483"
2014-12-05,"12795","5805"
2014-12-06,"8804","5036"
2014-12-07,"10053","6191"
2014-12-08,"18957","10360"
2014-12-09,"12033","7498"
2014-12-10,"10497","6726"
2014-12-11,"10246","5570"
2014-12-12,"7964","4288"
2014-12-13,"7130","3901"
2014-12-14,"9306","5354"
2014-12-15,"12631","6139"
2014-12-16,"10449","5108"
2014-12-17,"8222","5298"
2014-12-18,"7250","4868"
2014-12-19,"6702","3938"
2014-12-20,"9282","4815"
2014-12-21,"6596","3691"
2014-12-22,"9437","4033"
2014-12-23,"7644","4048"
2014-12-24,"4686","2772"
2014-12-25,"4271","2731"
2014-12-26,"5864","3702"
2014-12-27,"5711","3425"
2014-12-28,"5905","3618"
2014-12-29,"15754","6848"
2014-12-30,"17798","9366"
2014-12-31,"8024","4492"
2015-01-01,"9583","5707"
2015-01-02,"8537","4666"
